Année,Juridiction,Insecte espèce,Superficie défoliée (hectares)
2017,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",756
2017,Colombie-Britannique,Diprion de Swaine,0
2017,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,376100
2017,Colombie-Britannique,"Tordeuse occidentale de l'épinette",704
2018,Colombie-Britannique,Noctuelle décolorée,0
2018,Colombie-Britannique,Diprion du sapin,0
2018,Colombie-Britannique,"Tordeuse à tête noire de l'Ouest",0
2018,Colombie-Britannique,Arpenteuse de Bruce,1317041
2018,Colombie-Britannique,Livrée des forêts,0
2018,Colombie-Britannique,Arpenteuse de la pruche,0
2018,Colombie-Britannique,Tordeuse du pin gris,0
2018,Colombie-Britannique,Tordeuse du tremble,151
2018,Colombie-Britannique,Dendroctone du pin ponderosa,113781
2018,Colombie-Britannique,Spongieuse,0
2018,Colombie-Britannique,"Dendroctone de l'épinette",340405
2018,Colombie-Britannique,"Tordeuse des bourgeons de l'épinette",0
2018,Colombie-Britannique,Diprion de Swaine,0
2018,Colombie-Britannique,Tordeuse bisannuelle de l’épinette,0
2018,Colombie-Britannique,"Tordeuse occidentale de l'épinette",22634
2019,Colombie-Britannique,Noctuelle décolorée,0
