Année,Juridiction,Secteur,Employé(e)s
2007,Terre-Neuve-et-Labrador,Fabrication du papier,0
2007,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2007,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2007,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2007,Territoires du Nord-Ouest,Fabrication du papier,0
2007,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2007,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2007,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2007,Nouvelle-Écosse,Fabrication du papier,1761
2007,Nouvelle-Écosse,Activités de soutien à la foresterie,0
2007,Nouvelle-Écosse,Fabrication de produits en bois,2368
2007,Nunavut,Foresterie et exploitation forestière,0
2007,Nunavut,Fabrication du papier,0
2007,Nunavut,Activités de soutien à la foresterie,0
2007,Nunavut,Fabrication de produits en bois,0
2007,Ontario,Foresterie et exploitation forestière,5327
2007,Ontario,Fabrication du papier,27458
2007,Ontario,Activités de soutien à la foresterie,1004
2007,Ontario,Fabrication de produits en bois,24572
2007,Île-du-Prince-Édouard,Foresterie et exploitation forestière,0
2007,Île-du-Prince-Édouard,Fabrication du papier,0
2007,Île-du-Prince-Édouard,Activités de soutien à la foresterie,30
2007,Île-du-Prince-Édouard,Fabrication de produits en bois,0
2007,Québec,Foresterie et exploitation forestière,11885
2007,Québec,Fabrication du papier,27370
2007,Québec,Activités de soutien à la foresterie,3455
2007,Québec,Fabrication de produits en bois,37911
2007,Saskatchewan,Foresterie et exploitation forestière,0
2007,Saskatchewan,Fabrication du papier,0
2007,Saskatchewan,Activités de soutien à la foresterie,0
2007,Saskatchewan,Fabrication de produits en bois,1572
2007,Yukon,Foresterie et exploitation forestière,0
2007,Yukon,Fabrication du papier,0
2007,Yukon,Activités de soutien à la foresterie,0
2007,Yukon,Fabrication de produits en bois,0
2008,Canada,Foresterie et exploitation forestière,34073
2008,Canada,Fabrication du papier,73520
2008,Canada,Activités de soutien à la foresterie,11590
2008,Canada,Fabrication de produits en bois,111621
2008,Alberta,Foresterie et exploitation forestière,2301
2008,Alberta,Fabrication du papier,3355
2008,Alberta,Activités de soutien à la foresterie,1353
2008,Alberta,Fabrication de produits en bois,11797
2008,Colombie-Britannique,Foresterie et exploitation forestière,12434
2008,Colombie-Britannique,Fabrication du papier,10725
2008,Colombie-Britannique,Activités de soutien à la foresterie,4129
2008,Colombie-Britannique,Fabrication de produits en bois,31123
2008,Manitoba,Foresterie et exploitation forestière,0
2008,Manitoba,Fabrication du papier,0
2008,Manitoba,Activités de soutien à la foresterie,0
2008,Manitoba,Fabrication de produits en bois,4080
2008,Nouveau-Brunswick,Foresterie et exploitation forestière,0
2008,Nouveau-Brunswick,Fabrication du papier,2751
2008,Nouveau-Brunswick,Activités de soutien à la foresterie,0
2008,Nouveau-Brunswick,Fabrication de produits en bois,4991
2008,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,0
2008,Terre-Neuve-et-Labrador,Fabrication du papier,0
2008,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,0
2008,Terre-Neuve-et-Labrador,Fabrication de produits en bois,0
2008,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2008,Territoires du Nord-Ouest,Fabrication du papier,0
2008,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2008,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2008,Nouvelle-Écosse,Foresterie et exploitation forestière,0
2008,Nouvelle-Écosse,Fabrication du papier,1927
