Year,Jurisdiction,Cause,Area (hectares),Number
2012,Ontario,Unspecified,1443,31
2013,Ontario,Human activity,824,331
2013,Ontario,Natural cause,50215,239
2013,Ontario,Unspecified,50,12
2014,Ontario,Human activity,468,181
2014,Ontario,Natural cause,5144,117
2014,Ontario,Unspecified,760,11
2015,Ontario,Human activity,1253,347
2015,Ontario,Natural cause,38062,319
2015,Ontario,Unspecified,3416,9
2016,Ontario,Human activity,6117,457
2016,Ontario,Natural cause,76921,174
2016,Ontario,Unspecified,3172,26
2017,Ontario,Human activity,88,210
2017,Ontario,Natural cause,112233,556
2017,Ontario,Unspecified,610,15
2018,Ontario,Human activity,15899,383
2018,Ontario,Natural cause,249676,943
2018,Ontario,Unspecified,123,13
2019,Ontario,Human activity,16184,279
2019,Ontario,Natural cause,253446,255
2019,Ontario,Unspecified,97,7
2020,Ontario,Human activity,1006,234
2020,Ontario,Natural cause,14472,368
2020,Ontario,Unspecified,24,13
2021,Ontario,Human activity,5462,265
2021,Ontario,Natural cause,779020,934
2021,Ontario,Unspecified,82,7
2022,Ontario,Human activity,2289,188
2022,Ontario,Natural cause,270,88
2022,Ontario,Unspecified,68,5
2023,Ontario,Human activity,7458,159
2023,Ontario,Natural cause,433249,592
2023,Ontario,Unspecified,903,9
2024,Ontario,Human activity,1332,239
2024,Ontario,Natural cause,89231,242
2024,Ontario,Unspecified,36,17
2000,Prince Edward Island,Human activity,0,0
2000,Prince Edward Island,Lightning,0,0
2000,Prince Edward Island,Unspecified,0,0
2001,Prince Edward Island,Human activity,13,32
2001,Prince Edward Island,Lightning,0,0
2001,Prince Edward Island,Unspecified,16,14
2002,Prince Edward Island,Human activity,132,26
2002,Prince Edward Island,Lightning,0,0
2002,Prince Edward Island,Unspecified,0,3
2003,Prince Edward Island,Human activity,11,13
2003,Prince Edward Island,Lightning,0,0
2003,Prince Edward Island,Unspecified,1,1
2004,Prince Edward Island,Human activity,13,18
2004,Prince Edward Island,Lightning,0,0
2004,Prince Edward Island,Unspecified,2,2
2005,Prince Edward Island,Human activity,44,11
2005,Prince Edward Island,Lightning,0,0
2005,Prince Edward Island,Unspecified,6,2
2006,Prince Edward Island,Human activity,48,35
2006,Prince Edward Island,Lightning,0,0
2006,Prince Edward Island,Unspecified,3,1
2007,Prince Edward Island,Human activity,18,8
2007,Prince Edward Island,Lightning,0,0
2007,Prince Edward Island,Unspecified,1,1
2008,Prince Edward Island,Human activity,4,5
2008,Prince Edward Island,Lightning,0,0
2008,Prince Edward Island,Unspecified,1,1
2009,Prince Edward Island,Human activity,3,7
2009,Prince Edward Island,Lightning,0,0
2009,Prince Edward Island,Unspecified,0,1
2010,Prince Edward Island,Human activity,5,4
2010,Prince Edward Island,Lightning,0,0
2010,Prince Edward Island,Unspecified,0,0
2011,Prince Edward Island,Human activity,5,3
2011,Prince Edward Island,Lightning,0,0
2011,Prince Edward Island,Unspecified,1,1
2012,Prince Edward Island,Human activity,11,7
2012,Prince Edward Island,Lightning,0,0
2012,Prince Edward Island,Unspecified,1,1
2013,Prince Edward Island,Human activity,76,9
2013,Prince Edward Island,Lightning,0,0
2013,Prince Edward Island,Unspecified,5,2
2014,Prince Edward Island,Human activity,3,4
2014,Prince Edward Island,Lightning,0,0
2014,Prince Edward Island,Unspecified,0,0
2015,Prince Edward Island,Human activity,3,5
2015,Prince Edward Island,Lightning,0,0
2015,Prince Edward Island,Unspecified,0,0
2016,Prince Edward Island,Human activity,33,8
2016,Prince Edward Island,Lightning,0,0
2016,Prince Edward Island,Unspecified,0,0
2017,Prince Edward Island,Human activity,0,4
2017,Prince Edward Island,Lightning,0,0
2017,Prince Edward Island,Unspecified,7,0
2018,Prince Edward Island,Human activity,7,8
2019,Prince Edward Island,Human activity,14,3
2020,Prince Edward Island,Human activity,11,12
2021,Prince Edward Island,Human activity,0,1
2022,Prince Edward Island,Human activity,1,4
2023,Prince Edward Island,Human activity,8,7
2024,Prince Edward Island,Human activity,18,8
2000,Quebec,Human activity,673,412
2000,Quebec,Natural cause,38536,105
2001,Quebec,Human activity,5901,740
2001,Quebec,Natural cause,27191,265
2002,Quebec,Human activity,5943,572
2002,Quebec,Natural cause,1007807,327
2003,Quebec,Human activity,9783,526
2003,Quebec,Natural cause,78462,194
2004,Quebec,Human activity,816,280
2004,Quebec,Natural cause,2242,42
2005,Quebec,Human activity,33370,550
2005,Quebec,Natural cause,766771,825
2006,Quebec,Human activity,65212,385
2006,Quebec,Natural cause,71141,299
2007,Quebec,Human activity,120758,510
2007,Quebec,Natural cause,221957,429
2008,Quebec,Human activity,263,189
2008,Quebec,Natural cause,1333,34
2009,Quebec,Human activity,2275,340
2009,Quebec,Natural cause,91725,145
2010,Quebec,Human activity,36030,498
2010,Quebec,Natural cause,278884,242
2011,Quebec,Human activity,2274,233
2011,Quebec,Natural cause,10125,98
2012,Quebec,Human activity,24783,524
2012,Quebec,Natural cause,39261,274
2013,Quebec,Human activity,17131,377
2013,Quebec,Natural cause,1855712,151
2014,Quebec,Human activity,8599,228
2014,Quebec,Natural cause,55304,68
2015,Quebec,Human activity,2239,346
2015,Quebec,Natural cause,3919,46
2016,Quebec,Human activity,897,436
2016,Quebec,Natural cause,33036,171
2017,Quebec,Human activity,1746,239
2017,Quebec,Natural cause,36699,83
2018,Quebec,Human activity,15827,402
2018,Quebec,Natural cause,70489,194
2018,Quebec,Unspecified,1,1
2019,Quebec,Human activity,5177,281
2019,Quebec,Natural cause,4517,81
2020,Quebec,Human activity,52104,574
2020,Quebec,Natural cause,7897,138
2021,Quebec,Human activity,1334,519
2021,Quebec,Natural cause,48370,109
2021,Quebec,Unspecified,4,1
2022,Quebec,Human activity,19322,414
2022,Quebec,Natural cause,10393,39
2023,Quebec,Human activity,31060,337
2023,Quebec,Natural cause,4257203,377
2024,Quebec,Human activity,570,271
2024,Quebec,Natural cause,264630,249
2000,Saskatchewan,Human activity,10795,240
2000,Saskatchewan,Natural cause,130628,182
2001,Saskatchewan,Human activity,39409,547
2001,Saskatchewan,Natural cause,165725,328
2002,Saskatchewan,Human activity,101682,447
2002,Saskatchewan,Natural cause,780975,450
2003,Saskatchewan,Human activity,12884,299
2003,Saskatchewan,Natural cause,113205,359
2004,Saskatchewan,Human activity,7407,166
2004,Saskatchewan,Natural cause,250726,165
2004,Saskatchewan,Unspecified,5,1
2005,Saskatchewan,Human activity,9333,137
2005,Saskatchewan,Natural cause,205584,199
2005,Saskatchewan,Unspecified,1,2
2006,Saskatchewan,Human activity,182546,173
2006,Saskatchewan,Natural cause,1025561,349
2006,Saskatchewan,Unspecified,328,3
2007,Saskatchewan,Human activity,4768,239
2007,Saskatchewan,Natural cause,208305,135
2008,Saskatchewan,Human activity,31138,325
2008,Saskatchewan,Natural cause,1099182,285
2009,Saskatchewan,Human activity,6153,338
2009,Saskatchewan,Natural cause,37655,202
2009,Saskatchewan,Unspecified,1,2
2010,Saskatchewan,Human activity,208547,237
2010,Saskatchewan,Natural cause,1526789,345
2011,Saskatchewan,Human activity,55746,242
2011,Saskatchewan,Natural cause,288342,66
2012,Saskatchewan,Human activity,8041,222
2012,Saskatchewan,Natural cause,220914,204
2012,Saskatchewan,Unspecified,1,2
2013,Saskatchewan,Human activity,13124,288
