Year,Jurisdiction,Industry,Product,"Value (1,000 dollars)"
2018,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,1406436
2018,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,419082
2018,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product,928822
2018,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,58532
2018,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2018,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2018,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product,0
2018,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2019,Canada,Wood product manufacturing,Total wood product manufacturing,54261186
2019,Canada,Wood product manufacturing,Sawmills and wood preservation,31178364
2019,Canada,Wood product manufacturing,Veneer plywood and engineered wood product,13978022
2019,Canada,Wood product manufacturing,Other wood product manufacturing,9104800
