Year,Jurisdiction,Sector,Employees
2011,Alberta,Paper manufacturing,2721
2011,Alberta,Support activities for forestry,1289
2011,Alberta,Wood product manufacturing,10477
2011,British Columbia,Forestry and logging,11125
2011,British Columbia,Paper manufacturing,7296
2011,British Columbia,Support activities for forestry,3709
2011,British Columbia,Wood product manufacturing,24916
2011,Manitoba,Forestry and logging,0
2011,Manitoba,Paper manufacturing,1032
2011,Manitoba,Support activities for forestry,0
2011,Manitoba,Wood product manufacturing,2410
2011,New Brunswick,Forestry and logging,2288
2011,New Brunswick,Paper manufacturing,2492
2011,New Brunswick,Support activities for forestry,587
2011,New Brunswick,Wood product manufacturing,4217
2011,Newfoundland and Labrador,Forestry and logging,423
2011,Newfoundland and Labrador,Paper manufacturing,0
2011,Newfoundland and Labrador,Support activities for forestry,446
2011,Newfoundland and Labrador,Wood product manufacturing,372
2011,Northwest Territories,Forestry and logging,0
2011,Northwest Territories,Paper manufacturing,0
2011,Northwest Territories,Support activities for forestry,0
2011,Northwest Territories,Wood product manufacturing,0
2011,Nova Scotia,Forestry and logging,952
2011,Nova Scotia,Paper manufacturing,2806
2011,Nova Scotia,Support activities for forestry,350
2011,Nova Scotia,Wood product manufacturing,2018
2011,Nunavut,Forestry and logging,0
2011,Nunavut,Paper manufacturing,0
2011,Nunavut,Support activities for forestry,0
2011,Nunavut,Wood product manufacturing,0
2011,Ontario,Forestry and logging,3512
2011,Ontario,Paper manufacturing,19764
2011,Ontario,Support activities for forestry,1358
2011,Ontario,Wood product manufacturing,15470
2011,Prince Edward Island,Forestry and logging,0
2011,Prince Edward Island,Paper manufacturing,0
2011,Prince Edward Island,Support activities for forestry,0
2011,Prince Edward Island,Wood product manufacturing,0
2011,Quebec,Forestry and logging,7823
2011,Quebec,Paper manufacturing,25075
2011,Quebec,Support activities for forestry,3104
2011,Quebec,Wood product manufacturing,28357
2011,Saskatchewan,Forestry and logging,0
2011,Saskatchewan,Paper manufacturing,0
2011,Saskatchewan,Support activities for forestry,0
2011,Saskatchewan,Wood product manufacturing,1195
